Layer,Name,GEOID,APR_2024,EJV_2024,EKW_2024,EVR_2018,HBS_2019-2023,HBU_2019-2023,HCP_2024,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,INC_2019-2023,FAI_2020
Census tract,Tract 126.02,55087012602,76.41025641,4,4.22,1.23,4.060150376,12.13032581,0,95.839599,1282,0,22.89156627,0.129898172,1479,17.51207729,23.1,354600,116550,8.6
Census tract,Tract 126.03,55087012603,84.95145631,2,5.88,0.41,2.346938776,10.40816327,0,91.12244898,1586,12.64367816,30.45977011,0.162828141,1144,18.98238748,17.7,318400,110152,8.1
Census tract,Tract 126.04,55087012604,69.77777778,9,5.88,0.41,5.564142195,19.062339,0,82.74085523,1082,9.552238806,51.34328358,0.162897111,1261,29.19954904,20.2,349500,105417,8.1
Census tract,Tract 127,55087012700,73.45454545,21,4.19,0.689742033,7.084019769,19.27512356,4.86000013,72.89950577,1014,5.47112462,31.1550152,0.232439686,773,18.31345826,25.8,232800,78421,10.90000194
Census tract,Tract 128,55087012800,73.26732673,9,3.93,0.83,4.318181818,19.70779221,0,87.14285714,997,4.797979798,25,0.099718213,768,35.53585818,27.4,261900,82377,10.9
Census tract,Tract 129.02,55087012902,73.61111111,12,3.67,0,5.1558753,19.24460432,0,94.66426859,1196,22.47191011,57.30337079,0.180073246,976,26.72706682,27.5,315900,111250,8.8
Census tract,Tract 129.03,55087012903,71.875,4,5.61,0.92,5.031446541,17.43036837,0,88.14016173,1453,0.757575758,29.54545455,0.065282304,641,26.42487047,19.9,292500,114148,9.1
Census tract,Tract 129.04,55087012904,73.1092437,2,6.35,0.919996927,2.079866889,11.2312812,0,95.42429285,1576,0,0,0.072168908,,28.08988764,22.2,331500,129387,9.099991873
Census tract,Tract 131,55087013100,74.53703704,17,7.21,0.35,8.71886121,21.08540925,0,76.02313167,1002,16.51205937,28.0148423,0.178295963,919,22.98850575,23.2,219500,84462,10.8
Census tract,Tract 132,55087013200,69.56521739,13,4.19,0.340001287,6.560636183,21.60371107,0,85.75215374,870,7.441860465,24.18604651,0.155973208,899,35.02747253,31.7,207900,79295,12.09999688
